"Package","Version","Built"
"openai","0.4.1","4.5.0"
"openintro","2.5.0","4.5.0"
"OpenML","1.12","4.5.0"
"openSkies","1.3.0","4.5.2"
"openssl","2.3.2","4.5.0"
"openxlsx","4.2.8","4.5.0"
"ordinal","2023.12-4.1","4.5.0"
"ottr","1.5.1","4.5.0"
"outliers","0.15","4.5.0"
"packcircles","0.3.7","4.5.0"
"packrat","0.9.2","4.5.0"
"pagedown","0.22","4.5.0"
"pak","0.8.0.2","4.5.0"
"palmerpenguins","0.1.1","4.5.0"
"parallel","4.5.0","4.5.0"
"parallelly","1.44.0","4.5.0"
"parameters","0.27.0","4.5.0"
"parsedate","1.3.2","4.5.0"
"parsnip","1.3.1","4.5.0"
"pastecs","1.4.2","4.5.0"
"patchwork","1.3.2","4.5.0"
"pbapply","1.7-4","4.5.0"
"pbivnorm","0.6.0","4.5.0"
"pbkrtest","0.5.5","4.5.0"
"pbmcapply","1.5.1","4.5.0"
"pcaPP","2.0-5","4.5.0"
"performance","0.15.0","4.5.0"
"phosphoricons","0.2.1","4.5.0"
"pillar","1.11.1","4.5.0"
"pixmap","0.4-14","4.5.0"
"pkgbuild","1.4.7","4.5.0"
"pkgconfig","2.0.3","4.5.0"
"pkgdown","2.1.2","4.5.0"
"pkgload","1.4.0","4.5.0"
"PKI","0.1-14","4.5.0"
"plogr","0.2.0","4.5.0"
"plot3D","1.4.2","4.5.0"
"plotly","4.12.0","4.5.2"
"pls","2.8-5","4.5.0"
"plyr","1.8.9","4.5.0"
"png","0.1-8","4.5.0"
"polyclip","1.10-7","4.5.0"
"posterior","1.6.1","4.5.0"
"prabclus","2.3-4","4.5.0"
"pracma","2.4.6","4.5.0"
"praise","1.0.0","4.5.0"
"prettymapr","0.2.5","4.5.0"
"prettyunits","1.2.0","4.5.0"
"pROC","1.18.5","4.5.0"
"processx","3.8.6","4.5.0"
"prodlim","2025.04.28","4.5.0"
"profmem","0.7.0","4.5.0"
"profvis","0.4.0","4.5.0"
"progress","1.2.3","4.5.0"
"progressr","0.15.1","4.5.0"
"promises","1.3.3","4.5.0"
"proxy","0.4-29","4.5.2"
"PRROC","1.4","4.5.0"
"ps","1.9.1","4.5.0"
"pscl","1.5.9","4.5.0"
"pspline","1.0-21","4.5.0"
"psych","2.5.6","4.5.0"
"psychTools","2.5.7.22","4.5.0"
"purrr","1.2.1","4.5.2"
"qgam","2.0.0","4.5.0"
"qqconf","1.3.2","4.5.0"
"qqplotr","0.0.6","4.5.0"
"qrcode","0.3.0","4.5.0"
"quadprog","1.5-8","4.5.0"
"quantmod","0.4.28","4.5.0"
"quantreg","6.1","4.5.0"
"quarto","1.4.4","4.5.0"
"QuickJSR","1.8.0","4.5.0"
"quickstat","0.1.0","4.5.0"
"R.cache","0.17.0","4.5.0"
"R.methodsS3","1.8.2","4.5.0"
"R.oo","1.27.1","4.5.0"
"R.utils","2.13.0","4.5.0"
"R6","2.6.1","4.5.0"
"ragg","1.4.0","4.5.0"
"randomForest","4.7-1.2","4.5.0"
"ranger","0.17.0","4.5.0"
"RANN","2.6.2","4.5.0"
"rapidjsonr","1.2.1","4.5.2"
"rappdirs","0.3.4","4.5.2"
"raster","3.6-32","4.5.0"
"rbibutils","2.4.1","4.5.2"
"rcmdcheck","1.4.0","4.5.0"
"RColorBrewer","1.1-3","4.5.0"
"Rcpp","1.1.1","4.5.2"
"RcppAnnoy","0.0.22","4.5.0"
"RcppArmadillo","15.2.3-1","4.5.2"
"RcppEigen","0.3.4.0.2","4.5.0"
"RcppParallel","5.1.10","4.5.0"
"RcppProgress","0.4.2","4.5.0"
"RcppTOML","0.2.3","4.5.0"
"Rdpack","2.6.5","4.5.2"
"reactable","0.4.4","4.5.0"
"reactR","0.6.1","4.5.0"
"readMDTable","0.3.2","4.5.0"
"readr","2.1.5","4.5.0"
"readxl","1.4.5","4.5.0"
"recipes","1.3.0","4.5.0"
"reformulas","0.4.1","4.5.0"
"rematch","2.0.0","4.5.0"
"rematch2","2.1.2","4.5.0"
"remotes","2.5.0","4.5.0"
"rempsyc","0.1.9","4.5.0"
"renv","1.1.4","4.5.0"
"repr","1.1.7","4.5.0"
"reprex","2.1.1","4.5.0"
"reshape2","1.4.4","4.5.0"
"reticulate","1.45.0","4.5.2"
"rex","1.2.1","4.5.0"
"rgl","1.3.24","4.5.0"
"RhpcBLASctl","0.23-42","4.5.0"
"rio","1.2.3","4.5.0"
"rJava","1.0-11","4.5.0"
"rjson","0.2.23","4.5.0"
"rjtools","1.0.18.1","4.5.0"
"rlang","1.1.7","4.5.2"
"RMariaDB","1.3.4","4.5.0"
"rmarkdown","2.31","4.5.2"
"Rmpfr","1.1-2","4.5.0"
"rnaturalearth","1.2.0","4.5.2"
"rnaturalearthdata","1.0.0","4.5.0"
"rnaturalearthhires","1.0.0.9000","4.5.0"
"rngtools","1.5.2","4.5.0"
