"ID","floor","fraction","n_train","model","state","component","mean","sd","weight","occupation","self_transition"
"elk-163",0.025,1,158,"M21",1,1,0.053108176657432,0.0340999144678977,0.56007731651207,0.6982706828505,0.786652726090681
"elk-163",0.025,1,158,"M21",1,2,0.229724280013581,0.107983283681175,0.43992268348793,0.6982706828505,0.786652726090681
"elk-163",0.025,1,158,"M21",2,1,1.45438869147616,0.793360248272886,1,0.3017293171495,0.489815590346704
"elk-163",0.025,1,158,"M22",1,1,0.0553174009024148,0.0355151721445834,0.699238745907562,0.613964880715597,0.762649925160886
"elk-163",0.025,1,158,"M22",1,2,0.216164872783888,0.0573670763992263,0.300761254092438,0.613964880715597,0.762649925160886
"elk-163",0.025,1,158,"M22",2,1,0.452012049997749,0.211366981853331,0.452071086941576,0.386035119284404,0.610102980347475
"elk-163",0.025,1,158,"M22",2,2,1.8325714744847,0.632459444038795,0.547928913058424,0.386035119284404,0.610102980347475
"elk-163",0.025,1,158,"G2",1,1,0.112788461912671,0.0934103042034406,1,0.64548653506818,0.768611418856178
"elk-163",0.025,1,158,"G2",2,1,1.29013536499593,0.832322235422122,1,0.35451346493182,0.565050693036207
"elk-163",0.025,1,158,"G3",1,1,0.0564986656684476,0.0363482251223065,1,0.400214566291876,0.591781039805164
"elk-163",0.025,1,158,"G3",2,1,0.264164182938454,0.147857352693998,1,0.343059502275306,0.593235112233375
"elk-163",0.025,1,158,"G3",3,1,1.62403322917357,0.73618122093316,1,0.256725931432818,0.43173430414829
"elk-163",0.025,1,158,"G4",1,1,0.0661599162205726,0.0454471563032746,1,0.48466917035554,0.658974767224032
"elk-163",0.025,1,158,"G4",2,1,0.249649769571525,0.0266728042047221,1,0.119651845235979,0.438875677533641
"elk-163",0.025,1,158,"G4",3,1,0.43731898182664,0.217743895265093,1,0.183878308452877,0.561402389309529
"elk-163",0.025,1,158,"G4",4,1,1.83106410783033,0.632851057841208,1,0.211800675955604,0.35764949188492
"elk-287",0.025,1,163,"M21",1,1,0.118458322499915,0.0678096242618509,0.639359958066726,0.80417633586704,0.890114859175147
"elk-287",0.025,1,163,"M21",1,2,0.431951631695607,0.172621117481054,0.360640041933274,0.80417633586704,0.890114859175147
"elk-287",0.025,1,163,"M21",2,1,1.75256128228235,0.649284864759603,1,0.19582366413296,0.552201294531965
"elk-287",0.025,1,163,"M22",1,1,0.163984627998494,0.0862146443693836,0.563090217720078,0.44179176445875,0.999999999998129
"elk-287",0.025,1,163,"M22",1,2,0.466253520063165,0.135288823376715,0.436909782279922,0.44179176445875,0.999999999998129
"elk-287",0.025,1,163,"M22",2,1,0.105108510603029,0.0608358547935966,0.582424737019822,0.55820823554125,0.989009532866728
"elk-287",0.025,1,163,"M22",2,2,1.56336364499381,0.740522706380173,0.417575262980178,0.55820823554125,0.989009532866728
"elk-287",0.025,1,163,"G2",1,1,0.206710259587414,0.161333355364283,1,0.740996947810314,0.8707900016983
"elk-287",0.025,1,163,"G2",2,1,1.45250098927935,0.78344403001185,1,0.259003052189686,0.609849966115798
"elk-287",0.025,1,163,"G3",1,1,0.105062652119119,0.0608686018797184,1,0.328796813942029,0.708280463314436
"elk-287",0.025,1,163,"G3",2,1,0.297662200180663,0.186246367553859,1,0.436586151279902,0.99999999914045
"elk-287",0.025,1,163,"G3",3,1,1.55519559661918,0.745034444444691,1,0.234617034778068,0.591178644919152
"elk-287",0.025,1,163,"G4",1,1,0.116572264892436,0.0678120582701107,1,0.424720995362456,0.717411223917719
"elk-287",0.025,1,163,"G4",2,1,0.287553044671056,0.157386489738546,1,0.292585162603777,0.999999999991719
"elk-287",0.025,1,163,"G4",3,1,0.618172487125554,0.0831088558526836,1,0.070143620497484,0.318280494377819
"elk-287",0.025,1,163,"G4",4,1,1.6578203266855,0.70531918094842,1,0.212550221536283,0.62376112469725
"elk-363",0.025,1,217,"M21",1,1,0.458803637171142,0.237731669549558,1,0.317451868074349,0.856841545824121
"elk-363",0.025,1,217,"M21",2,1,0.138730672552748,0.0922751683575351,0.704752506804794,0.68254813192565,0.939661903206848
"elk-363",0.025,1,217,"M21",2,2,1.3770913627491,0.613015042541012,0.295247493195207,0.68254813192565,0.939661903206848
"elk-363",0.025,1,217,"M22",1,1,0.345039162012473,0.171420735571587,0.752893791407761,0.495455923090367,0.891991423087792
"elk-363",0.025,1,217,"M22",1,2,0.927208097981112,0.346658101908341,0.247106208592239,0.495455923090367,0.891991423087792
"elk-363",0.025,1,217,"M22",2,1,0.118866521826869,0.0822240812075596,0.763556709754022,0.504544076909633,0.902018230316847
"elk-363",0.025,1,217,"M22",2,2,1.69220867585931,0.509842426307039,0.236443290245978,0.504544076909633,0.902018230316847
"elk-363",0.025,1,217,"G2",1,1,0.153877874385415,0.0989258054785973,1,0.552474968524506,0.689570811345141
